,Rigging ,,Dragging system,,HOIST,
Sr. No.,HMR,Remarks,HMR,Remarks,HMR,Remarks
154,142970.5,dump rope broke,147721,drag chain link broken,,
155,143183.5,dump rope broke,147991.5,drag chain link broken,,
156,143447,dump equiliser pin fallen ,148400,drag chain shackle broken,,
157,143744,dump rope broke,148421,drag chain shackle broken,,
158,143823,dump rope broke,148438,drag socket,,
159,143927,dump rope broke,148476.5,drag chain,,
160,144582.5,dump rope broke,148496.5,drag chain,,
161,144686,dump rope broke,148983,drag rope out from pulley,,
162,144958.5,dump rope broke,149000,drag rope,,
163,145098,dump rope broke,149094,drag chain broken,,
164,145722.5,dump rope broke,149326,drag chain,,
165,145938,dump rope slip socket,149347,drag chain,,
166,146466,both dump rope problem,149366,drag chain,,
167,146925,dump rope broke,150094.5,drag chain and link broken,,
168,147063,dump rope broke,150112.5,drag brake,,
169,147338,dump rope broke,150289,drag rope,,
170,147357.5,dump rope pin failed,150489.5,drag brake,,
171,147390.5,dump rope broke,150500.5,drag chain,,
172,147916,dump socket pin,150707.5,drag brake,,
173,148094.5,dump rope broke,150792,drag chain,,
174,148286.5,dump rope broke,150819,drag rope,,
175,148827,dump rope broke,151238.5,drag rope broken,,
176,148844,dump rope broke,151471,drag rope out of pulley,,
177,149251.5,dump rope broke,151491,drag limit switch not working,,
178,149443.5,dump rope broke,151915,drag socket pin,,
179,149734.5,dump rope broke,152100,drag rope out from pulley,,
180,149748,dump rope broke,152130,drag system not working,,
181,150407,dump rope broke,153177,drag rope out from pulley,,
182,150662,dump rope broke,153399,drag brake not working,,
183,150959,dump rope broke,153644,drag rope out,,
184,152245,dump rope broke,153839,drag rope,,
185,152299.5,dump socket pin out,153893,drag rope out from drum,,
186,152358.5,dump socket pin out,153946,"drag rope pulley,drag chain",,
187,152628,dump rope broke,154030,drag rope out from pulley,,
188,152729,dum  socket,154302.5,drag line shackle broken,,
189,152881.5,dump rope broke,154530.5,drag rope broken,,
190,153547,dump socket cock,154543.5,drag rope,,
191,153822.5,dump rope broke,155496,drag rope from pulley,,
192,153930.5,dump socket pin out,155513.5,drag chain line,,
193,153975.5,dump socket pin out,155546,drag chain,,
194,154010.5,dump rope broke,155563,drag rope,,
195,154139.5,dump rope broke,155614,drag chain link broken,,
196,154200,dump rope broke,155680,drag chain ,,
197,155020,dump rope broke,155724,drag chain ,,
198,155387,dump rope broke,155814,drag chain,,
199,155581,dump rope broke,155877,drag chain pinion brake,,
200,155692,dump rope broke,155889,drag rope,,
201,155942,dump socket pin out,156225,drag socket pin out,,
202,155993.5,both dump rope broke,156290.5,drag rope out from pulley,,
203,156416.5,dump socket pin out,156345.5,drag rope broken,,
204,156430.5,dump rope broke,156543.5,drag walk,,
205,156448,dump socket pin out,156930.5,drag link broken,,
206,156719,dump socket pin out,157004.5,drag chain shackle broken,,
207,157129,dump socket pin out,157194,drag chain link broken,,
208,157179,dump rope broke,157406.5,drag rope out from pulley,,
209,157232,dump socket pin out,157542,drag chain shackle broken,,
210,157350.5,dumpsocket broken,157962.5,drag rope from drum,,
211,157490,dump rope broke,158220,drag socket,,
212,157692,dump socket pin broken,158458.5,drag rope,,
213,158014,dump rope broke,158492,drag rope out from drum,,
214,158046,dump socket pin out,158501,drag rope broken,,
215,158201.5,dump rope broke,158585,drag chain,,
216,158474.5,dump rope broke,158953.5,drag rope out from pulley,,
217,159129,dump socket pin out,159096,drag rope out from pulley,,
218,159310,dump socket problem,159246,drag chain link broken,,
219,159387.1,dump socket pin out,159814.5,drag rope out from pulley,,
220,159456,dump rope broke,159946,drag rope broken,,
221,159603.5,dump rope broke,160208,drag chain shackle broken,,
222,159982,lower dump socket pin out,160300.5,drag rope lock broken,,
223,160115,pin out,160519.5,drag chain shackle broken,,
224,160187,both dump rope broke,160631.5,drag rope,,
225,160673.5,dump rope broke,161114,drag rope broken,,
226,160963,dump socket broke,161419,drag socket pinion,,
227,161676.5,dump rope broke,161923,drag rope out from pulley,,
228,162017.5,dump rope broke,162104.5,drag gear bolt loss,,
229,162029,dump block,162185,drag chain,,
230,162457.5,dump rope broke,162457.5,drag socket,,
231,162467,dump rope pinin,163175.5,drag rope out from drum,,
232,162732,dump socket pin out,163682.5,drag rope out from drum,,
233,163281.5,dump rope broke,163689.5,drag rope out from drum,,
234,163388.5,lower dump socket out,164258.5,drag rope,,
235,163920.5,dump rope broke,164361.5,drag rope out from pulley,,
236,163989.5,dump socket pin out,164575.5,drag not working,,
237,164275,dump rope broke,165060,drag problem,,
238,164750.5,dump rope broke,165075,drag rope broken,,
239,164886,dump rope broke,165085,drag rope broken,,
240,165043.5,dump rope broke,165461,drag chain,,
241,165341.5,dump rope broke,165496.5,drag chain,,
242,165412,dump socket,165810.5,drag chain,,
243,165514,dump rope broke,165889,drag chain link broken,,
244,165871.5,dump rope broke,166296.5,drag chain link broken,,
245,166005,dump rope broke,166420,drag rope,,
246,166214,dump rope broke,167592.5,drag rope broken,,
247,166349.5,dump socket pin out,168476,drag brake,,
248,166579.5,both dump rope broke,168779.5,drag rope out from drum,,
249,166916.5,dump socket pin out,168843.5,drag chain,,
250,166965,dump socket pin out,169579,drag rope broken,,
251,167288.5,both dump rope broke,169216,drag walk problem,,
252,167932.5,dump rope broke,169294.5,drag chain problem,,
253,167947,dump rope broke,169531.5,drag chain link broken,,
254,168656.5,dump rope broke,170044.5,drag chain,,
255,168826.5,dump rope broke,170180,drag rope out from pulley,,
256,169170,dumppulley broke,170263.5,drag drum drive break,,
257,169514,both dump rope broke,170643,drag chain,,
258,169720,dump pulley ,171110,drag socket pin lock broken,,
259,170031,dump rope broke,171173.5,drag rope,,
260,170232.5,dump rope broke,171707.5,drag rope from drum,,
261,170931.5,dump rope broke,172857,drag chain,,
262,171458,dump rope broke,172902.5,drag rope out from pulley,,
263,171628,dump rope broke,172954.5,drag rope out from pulley,,
264,172028,dump pulley,172971,drag pinion problem,,
265,173073.5,dump pulley pin out,173720.5,drag system ,,
266,173482,dump rope broke,173880.5,drag rope,,
267,173880.5,dump rope broke,173990,drag chain,,
268,174194,dump rope broke,174073.5,drag walk,,
269,,,174407,drag chain link broken,,
270,,,,,,
